0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:47:36 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:22:47:36 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:08:24 +0530] "GET /project3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:08:24 +0530] "GET /project3/ErrorCtl HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:08:37 +0530] "GET /project3/ctl/uUserListCtl HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:08:41 +0530] "GET /project3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:08:41 +0530] "GET /project3/ErrorCtl HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:09:52 +0530] "GET /project3/ErrorCtl HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:09:57 +0530] "GET /project3/ctl/uUserListCtl HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:01 +0530] "GET /project3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:01 +0530] "GET /project3/ErrorCtl HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:07 +0530] "GET /project3/ctl/RoleCtl HTTP/1.1" 200 19626
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:07 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:07 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:07 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:09 +0530] "GET /project3/ctl/StudentListCtl HTTP/1.1" 200 24565
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:09 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:09 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:09 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:11 +0530] "GET /project3/ctl/UserCtl HTTP/1.1" 200 25935
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:11 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:11 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:11 +0530] "GET /project3/ctl/js/calendar.js HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:11 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:11 +0530] "GET /project3/ctl/js/calendar.js HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:13 +0530] "GET /project3/ctl/UserListCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:13 +0530] "GET /project3/ErrorCtl HTTP/1.1" 200 1096
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:16 +0530] "GET /project3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 22365
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:16 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:16 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [18/Mar/2021:23:10:16 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
