0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:36 +0530] "GET /project3/LoginCtl HTTP/1.1" 200 11561
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:36 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:36 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:23:36 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:08 +0530] "POST /project3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:08 +0530] "GET /project3/WelcomeCtl HTTP/1.1" 200 16942
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:08 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:08 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:08 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:14 +0530] "GET /project3/ctl/StudentCtl HTTP/1.1" 200 22255
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:14 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:14 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:14 +0530] "GET /project3/image/add.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:36 +0530] "GET /project3/ctl/StudentListCtl HTTP/1.1" 200 24396
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:36 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:36 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:36 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:24:36 +0530] "GET /project3/image/fff.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:58:28 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:58:28 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:58:28 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:58:32 +0530] "GET /project3 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Feb/2021:19:58:32 +0530] "GET /project3/ HTTP/1.1" 200 1178
