127.0.0.1 - - [09/Feb/2021:19:14:55 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:14:56 +0530] "GET /project3/ HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:14:56 +0530] "GET /project3/image/customLogo.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:14:57 +0530] "GET /project3/image/index.png HTTP/1.1" 200 736175
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:15:00 +0530] "GET /project3/WelcomeCtl HTTP/1.1" 200 9662
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:15:00 +0530] "GET /project3/css/jquery-ui.css HTTP/1.1" 200 37282
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:15:00 +0530] "GET /project3/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:15:00 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:15:00 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:15:00 +0530] "GET /project3/js/jquery.min.js HTTP/1.1" 200 93435
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:15:00 +0530] "GET /project3/js/jquery-1.12.4.js HTTP/1.1" 200 304436
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:15:00 +0530] "GET /project3/js/jquery-ui.js HTTP/1.1" 200 539419
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:15:00 +0530] "GET /project3/image/download.png HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:15:00 +0530] "GET /project3/image/back.jpg HTTP/1.1" 200 45845
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:39:56 +0530] "GET /project3/LoginCtl HTTP/1.1" 200 11561
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:39:56 +0530] "GET /project3/image/ff.png HTTP/1.1" 200 171098
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:39:56 +0530] "GET /project3/js/bootstrap.min.css HTTP/1.1" 404 1052
0:0:0:0:0:0:0:1 - - [09/Feb/2021:19:39:56 +0530] "GET /project3/js/font-awesome.min.css HTTP/1.1" 404 1058
